team,players_used,avg_age,possession,games_played,goals,assists,pens_made,pens_attempted,cards_yellow,cards_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,league,xg,npxg,xg_assist,progressive_carries,progressive_passes,ball_recoveries,aerials_won,aerials_lost
Almería,26,25.7,,38,36,27,0,1,104,4.0,571.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Athletic Club,29,25.4,,38,57,34,7,11,110,7.0,618.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Atlético Madrid,24,26.0,,38,61,44,2,5,106,5.0,599.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Barcelona,28,26.5,,38,94,73,5,5,72,2.0,395.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Espanyol,31,24.9,,38,44,28,6,6,113,5.0,547.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Getafe,23,26.2,,38,47,30,5,5,117,7.0,528.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Hércules,26,28.6,,38,36,17,3,4,101,8.0,518.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
La Coruña,30,27.2,,38,30,21,5,5,95,5.0,512.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Levante,28,28.8,,38,41,29,2,2,127,3.0,562.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Málaga,34,26.3,,38,53,36,3,6,107,7.0,552.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Mallorca,24,26.5,,38,41,31,4,7,88,4.0,529.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Osasuna,26,29.5,,38,44,27,5,5,116,7.0,636.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Racing Sant,29,27.5,,38,38,21,1,6,92,7.0,606.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Real Madrid,32,25.5,,38,100,67,11,12,102,8.0,536.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Real Sociedad,23,26.2,,38,45,32,4,4,80,0.0,535.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Sevilla,32,26.5,,38,62,41,10,12,108,7.0,543.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Sporting Gijón,31,26.7,,38,33,21,7,7,115,6.0,597.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Valencia,27,27.0,,38,63,47,2,2,121,8.0,604.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Villarreal,28,26.4,,38,54,39,4,4,94,5.0,459.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Zaragoza,24,27.5,,38,40,22,6,6,128,9.0,688.0,,,,,,,,,2010-2011,La-Liga,,,,,,,,
Bastia,31,27.2,48.9,38,35,20,5,5,80,0.0,560.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Bordeaux,30,26.2,52.8,38,46,34,8,8,66,0.0,502.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Caen,23,27.2,45.2,38,51,34,6,6,45,0.0,468.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Evian,29,26.8,45.8,38,37,25,1,2,70,0.0,531.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Guingamp,28,28.3,44.2,38,40,26,7,7,62,0.0,476.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Lens,27,26.0,47.3,38,32,19,5,8,76,,555.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Lille,27,26.4,51.3,38,42,28,5,8,63,0.0,463.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Lorient,32,24.8,49.6,38,41,27,5,5,56,0.0,458.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Lyon,26,24.6,56.9,38,69,47,9,12,64,0.0,576.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Marseille,25,25.6,57.7,38,72,45,2,4,69,0.0,548.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Metz,31,26.3,44.9,38,31,17,8,10,76,,595.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Monaco,27,25.5,51.7,38,50,35,5,7,63,0.0,506.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Montpellier,26,27.3,47.3,38,45,32,3,6,51,0.0,512.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Nantes,27,26.3,47.1,38,26,17,4,6,73,0.0,568.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Nice,30,24.0,50.4,38,44,29,4,4,89,0.0,554.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Paris S-G,23,26.8,60.4,38,80,55,13,14,66,0.0,443.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Reims,30,27.0,48.9,38,45,31,3,3,79,0.0,544.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Rennes,22,26.0,50.2,38,34,28,1,3,56,,485.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Saint-Étienne,24,27.1,50.3,38,50,33,5,7,70,,556.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Toulouse,27,24.4,49.1,38,42,31,3,3,63,,582.0,,,,,,,,,2014-2015,Ligue-1,,,,,,,,
Arminia,26,26.0,42.3,34,23,16,1,2,52,1.0,390.0,417.0,49.0,471.0,418.0,328.0,2.0,6.0,1.0,2020-2021,Bundesliga,32.9,31.3,23.9,358.0,880.0,1725.0,740.0,711.0
Augsburg,25,27.0,41.4,34,35,23,2,5,71,4.0,395.0,403.0,67.0,500.0,454.0,308.0,3.0,9.0,3.0,2020-2021,Bundesliga,37.3,33.4,25.9,431.0,987.0,1802.0,559.0,688.0
Bayern Munich,29,27.3,60.7,34,98,75,9,10,44,3.0,317.0,374.0,74.0,828.0,399.0,316.0,7.0,3.0,0.0,2020-2021,Bundesliga,75.9,68.1,55.2,829.0,2084.0,2050.0,430.0,409.0
Dortmund,26,25.6,59.6,34,74,57,3,7,44,1.0,359.0,373.0,69.0,532.0,413.0,318.0,6.0,6.0,1.0,2020-2021,Bundesliga,66.2,60.4,51.2,763.0,1745.0,2023.0,432.0,350.0
Eint Frankfurt,25,27.2,53.7,34,63,52,8,8,82,1.0,459.0,366.0,69.0,776.0,428.0,352.0,6.0,6.0,2.0,2020-2021,Bundesliga,58.5,52.2,44.0,664.0,1548.0,2094.0,604.0,552.0
Freiburg,24,26.2,47.3,34,51,34,6,6,62,0.0,437.0,401.0,56.0,636.0,452.0,247.0,5.0,6.0,2.0,2020-2021,Bundesliga,45.5,40.9,29.5,463.0,1170.0,1718.0,588.0,637.0
Gladbach,23,26.9,51.7,34,63,44,10,11,61,2.0,395.0,412.0,82.0,561.0,436.0,307.0,9.0,6.0,0.0,2020-2021,Bundesliga,54.9,46.5,37.1,612.0,1371.0,1914.0,512.0,488.0
Hertha BSC,32,25.4,49.6,34,40,29,4,6,67,3.0,469.0,428.0,77.0,585.0,417.0,270.0,6.0,8.0,1.0,2020-2021,Bundesliga,41.9,37.2,29.1,589.0,1176.0,1743.0,527.0,513.0
Hoffenheim,30,25.7,51.2,34,51,38,5,6,68,4.0,442.0,407.0,49.0,658.0,431.0,296.0,4.0,9.0,2.0,2020-2021,Bundesliga,51.9,47.3,37.4,581.0,1517.0,1896.0,516.0,620.0
Köln,28,24.9,46.3,34,33,23,4,6,63,1.0,422.0,429.0,57.0,655.0,429.0,328.0,4.0,9.0,0.0,2020-2021,Bundesliga,40.5,35.9,25.5,429.0,1131.0,1948.0,607.0,614.0
Leverkusen,30,25.4,59.7,34,52,41,3,3,58,0.0,433.0,335.0,72.0,674.0,322.0,282.0,1.0,2.0,2.0,2020-2021,Bundesliga,46.3,44.0,34.7,724.0,1522.0,2006.0,444.0,487.0
Mainz 05,31,25.8,40.7,34,39,23,5,5,63,1.0,500.0,379.0,57.0,605.0,500.0,364.0,4.0,7.0,1.0,2020-2021,Bundesliga,49.9,46.0,34.9,442.0,1046.0,1923.0,613.0,650.0
RB Leipzig,25,25.0,59.7,34,59,44,8,10,57,0.0,435.0,404.0,81.0,649.0,353.0,305.0,9.0,3.0,0.0,2020-2021,Bundesliga,64.4,56.7,43.7,624.0,1718.0,2060.0,622.0,466.0
Schalke 04,42,25.9,44.7,34,24,20,0,3,74,2.0,415.0,403.0,68.0,425.0,411.0,337.0,3.0,8.0,5.0,2020-2021,Bundesliga,28.7,26.3,20.6,452.0,943.0,1748.0,519.0,564.0
Stuttgart,29,24.1,51.5,34,54,42,6,8,65,2.0,420.0,434.0,55.0,539.0,426.0,294.0,6.0,7.0,1.0,2020-2021,Bundesliga,51.4,45.1,37.1,701.0,1467.0,2053.0,544.0,452.0
Union Berlin,27,27.3,44.9,34,50,39,5,7,57,2.0,434.0,375.0,84.0,640.0,405.0,283.0,6.0,5.0,2.0,2020-2021,Bundesliga,46.9,41.3,33.4,464.0,1059.0,1977.0,585.0,669.0
Werder Bremen,27,26.3,43.9,34,35,25,5,5,67,3.0,396.0,467.0,68.0,548.0,407.0,333.0,3.0,6.0,3.0,2020-2021,Bundesliga,32.9,29.0,21.5,414.0,1065.0,1738.0,609.0,582.0
Wolfsburg,26,25.6,51.1,34,57,48,2,3,58,3.0,442.0,379.0,77.0,643.0,477.0,363.0,1.0,5.0,1.0,2020-2021,Bundesliga,49.0,46.9,37.7,595.0,1397.0,2088.0,567.0,566.0
Arminia,26,25.8,40.7,34,26,18,2,2,55,2.0,433.0,307.0,54.0,487.0,421.0,311.0,2.0,7.0,2.0,2021-2022,Bundesliga,26.3,24.7,17.2,405.0,887.0,1907.0,658.0,734.0
Augsburg,26,26.6,41.5,34,39,26,5,5,74,0.0,448.0,357.0,73.0,592.0,363.0,335.0,4.0,5.0,2.0,2021-2022,Bundesliga,36.7,32.8,23.9,441.0,895.0,1927.0,557.0,604.0
Bayern Munich,30,26.8,64.5,34,92,70,5,5,36,2.0,305.0,354.0,76.0,656.0,349.0,338.0,1.0,2.0,1.0,2021-2022,Bundesliga,89.0,85.1,66.7,833.0,2164.0,2220.0,422.0,394.0
Bochum,28,28.0,44.7,34,37,22,4,6,55,2.0,424.0,391.0,75.0,600.0,429.0,353.0,4.0,8.0,4.0,2021-2022,Bundesliga,40.6,35.9,26.7,467.0,926.0,2088.0,609.0,599.0
Dortmund,33,25.9,59.2,34,81,57,11,11,63,1.0,362.0,398.0,73.0,491.0,347.0,322.0,6.0,6.0,2.0,2021-2022,Bundesliga,64.0,55.9,45.0,670.0,1468.0,2052.0,419.0,363.0
Eint Frankfurt,27,26.2,49.6,34,43,33,1,2,61,1.0,422.0,299.0,53.0,697.0,377.0,330.0,1.0,4.0,1.0,2021-2022,Bundesliga,41.6,40.1,32.0,609.0,1255.0,2251.0,552.0,644.0
Freiburg,26,26.5,49.0,34,55,37,5,6,34,0.0,392.0,375.0,58.0,633.0,355.0,299.0,4.0,2.0,1.0,2021-2022,Bundesliga,50.4,45.7,34.5,401.0,1229.0,1920.0,675.0,638.0
Gladbach,26,26.0,54.0,34,54,38,5,7,67,1.0,359.0,472.0,73.0,440.0,326.0,345.0,6.0,5.0,0.0,2021-2022,Bundesliga,56.2,50.6,37.8,527.0,1291.0,1850.0,464.0,419.0
Greuther Fürth,29,25.9,43.6,34,26,15,5,5,61,0.0,437.0,434.0,69.0,478.0,374.0,336.0,3.0,6.0,5.0,2021-2022,Bundesliga,30.0,26.2,18.8,413.0,976.0,1878.0,468.0,602.0
Hertha BSC,36,26.7,43.7,34,35,23,3,3,62,2.0,421.0,430.0,73.0,505.0,406.0,321.0,3.0,8.0,0.0,2021-2022,Bundesliga,33.3,30.9,25.0,462.0,975.0,1830.0,556.0,575.0
Hoffenheim,32,26.1,53.2,34,55,42,0,0,75,0.0,429.0,348.0,70.0,703.0,285.0,291.0,0.0,4.0,1.0,2021-2022,Bundesliga,58.3,58.3,46.8,588.0,1474.0,1905.0,485.0,574.0
Köln,26,27.0,54.8,34,52,40,1,1,68,1.0,419.0,459.0,67.0,829.0,426.0,361.0,1.0,1.0,2.0,2021-2022,Bundesliga,50.1,49.3,38.6,550.0,1406.0,2137.0,597.0,590.0
Leverkusen,29,24.4,53.7,34,76,58,2,6,66,2.0,364.0,329.0,64.0,537.0,360.0,281.0,5.0,4.0,1.0,2021-2022,Bundesliga,62.6,57.8,46.2,709.0,1341.0,2009.0,442.0,415.0
Mainz 05,28,26.2,46.5,34,49,36,4,4,62,4.0,495.0,386.0,63.0,598.0,439.0,305.0,3.0,6.0,1.0,2021-2022,Bundesliga,50.4,47.2,36.4,444.0,1178.0,2097.0,606.0,580.0
RB Leipzig,29,25.3,56.1,34,72,53,8,9,49,0.0,360.0,426.0,66.0,523.0,349.0,289.0,5.0,3.0,1.0,2021-2022,Bundesliga,64.5,58.4,49.2,542.0,1467.0,1994.0,504.0,420.0
Stuttgart,34,24.0,50.7,34,40,31,1,3,64,2.0,371.0,419.0,53.0,550.0,342.0,307.0,1.0,4.0,1.0,2021-2022,Bundesliga,43.7,41.4,33.1,571.0,1269.0,2021.0,586.0,451.0
Union Berlin,28,28.3,43.7,34,50,33,5,5,62,1.0,423.0,333.0,64.0,663.0,376.0,296.0,2.0,2.0,4.0,2021-2022,Bundesliga,47.0,43.3,31.5,429.0,1123.0,1975.0,584.0,681.0
Wolfsburg,30,26.0,50.5,34,42,25,3,4,61,3.0,411.0,415.0,74.0,619.0,388.0,298.0,3.0,7.0,1.0,2021-2022,Bundesliga,47.7,44.9,33.8,502.0,1220.0,1984.0,621.0,522.0
Angers,29,26.7,46.1,38,39,25,3,4,60,1.0,435.0,386.0,55.0,732.0,570.0,496.0,4.0,2.0,4.0,2016-2017,Ligue-1,,,,,,,,
Bastia,29,26.9,43.4,38,28,18,0,1,85,7.0,445.0,501.0,50.0,580.0,608.0,472.0,1.0,8.0,2.0,2016-2017,Ligue-1,,,,,,,,
Bordeaux,27,25.9,48.3,38,51,35,4,7,67,1.0,441.0,501.0,103.0,690.0,516.0,563.0,6.0,4.0,2.0,2016-2017,Ligue-1,,,,,,,,
Caen,27,28.7,45.8,38,35,28,4,5,61,1.0,439.0,457.0,57.0,963.0,693.0,556.0,6.0,8.0,2.0,2016-2017,Ligue-1,,,,,,,,
Dijon,27,27.7,46.4,38,42,29,3,4,74,3.0,493.0,472.0,80.0,698.0,628.0,600.0,3.0,11.0,1.0,2016-2017,Ligue-1,,,,,,,,
Guingamp,25,27.6,47.5,38,46,33,4,4,63,3.0,501.0,506.0,101.0,735.0,576.0,480.0,4.0,11.0,1.0,2016-2017,Ligue-1,,,,,,,,
Lille,31,26.9,51.1,38,40,26,6,7,64,3.0,540.0,533.0,57.0,685.0,583.0,465.0,8.0,6.0,1.0,2016-2017,Ligue-1,,,,,,,,
Lorient,30,26.8,50.5,38,43,30,4,6,68,0.0,439.0,383.0,73.0,770.0,595.0,431.0,4.0,6.0,2.0,2016-2017,Ligue-1,,,,,,,,
Lyon,27,25.0,59.1,38,74,44,12,14,65,2.0,503.0,523.0,103.0,655.0,498.0,531.0,11.0,6.0,1.0,2016-2017,Ligue-1,,,,,,,,
Marseille,27,27.4,55.9,38,56,37,4,4,71,1.0,520.0,386.0,105.0,693.0,596.0,538.0,4.0,2.0,1.0,2016-2017,Ligue-1,,,,,,,,
Metz,31,26.5,42.4,38,37,22,8,9,75,,515.0,436.0,91.0,698.0,697.0,502.0,9.0,7.0,1.0,2016-2017,Ligue-1,,,,,,,,
Monaco,29,25.0,51.9,38,103,62,11,11,53,1.0,465.0,449.0,84.0,949.0,534.0,525.0,11.0,5.0,0.0,2016-2017,Ligue-1,,,,,,,,
Montpellier,32,26.8,49.4,38,48,30,3,3,48,2.0,401.0,455.0,66.0,821.0,595.0,467.0,1.0,8.0,2.0,2016-2017,Ligue-1,,,,,,,,
Nancy,27,27.2,43.1,38,29,22,1,3,78,1.0,499.0,459.0,127.0,685.0,659.0,525.0,1.0,9.0,2.0,2016-2017,Ligue-1,,,,,,,,
Nantes,27,24.8,48.4,38,40,31,2,4,78,1.0,543.0,395.0,108.0,814.0,524.0,642.0,4.0,9.0,1.0,2016-2017,Ligue-1,,,,,,,,
Nice,27,24.3,58.9,38,63,45,6,8,60,1.0,424.0,572.0,75.0,411.0,434.0,472.0,8.0,5.0,1.0,2016-2017,Ligue-1,,,,,,,,
Paris S-G,28,26.4,65.3,38,79,54,9,10,54,1.0,404.0,409.0,129.0,909.0,521.0,478.0,10.0,3.0,1.0,2016-2017,Ligue-1,,,,,,,,
Rennes,31,26.3,52.0,38,35,25,2,3,59,,460.0,418.0,80.0,672.0,499.0,523.0,3.0,4.0,1.0,2016-2017,Ligue-1,,,,,,,,
Saint-Étienne,34,26.1,49.8,38,40,26,5,6,58,,484.0,449.0,95.0,761.0,641.0,502.0,6.0,4.0,0.0,2016-2017,Ligue-1,,,,,,,,
Toulouse,30,23.3,45.4,38,37,22,6,9,90,,558.0,470.0,47.0,639.0,554.0,536.0,9.0,9.0,0.0,2016-2017,Ligue-1,,,,,,,,
Athletic Club,25,27.7,49.9,38,57,42,3,5,86,6.0,501.0,477.0,91.0,844.0,780.0,628.0,4.0,7.0,2.0,2015-2016,La-Liga,,,,,,,,
Atlético Madrid,25,25.9,48.5,38,62,47,1,2,94,3.0,507.0,439.0,84.0,761.0,767.0,717.0,2.0,1.0,0.0,2015-2016,La-Liga,,,,,,,,
Barcelona,25,28.0,67.1,38,109,74,11,19,67,1.0,384.0,557.0,121.0,532.0,569.0,522.0,15.0,1.0,2.0,2015-2016,La-Liga,,,,,,,,
Betis,29,27.4,46.7,38,34,25,3,4,114,5.0,493.0,555.0,79.0,669.0,771.0,613.0,2.0,1.0,1.0,2015-2016,La-Liga,,,,,,,,
Celta Vigo,27,26.1,56.4,38,50,41,4,5,115,8.0,532.0,529.0,104.0,515.0,836.0,610.0,5.0,5.0,2.0,2015-2016,La-Liga,,,,,,,,
Eibar,28,25.6,45.2,38,47,31,6,8,108,4.0,597.0,408.0,87.0,827.0,803.0,635.0,7.0,4.0,2.0,2015-2016,La-Liga,,,,,,,,
Espanyol,26,24.9,46.2,38,38,29,1,3,132,5.0,654.0,491.0,98.0,636.0,709.0,622.0,2.0,6.0,2.0,2015-2016,La-Liga,,,,,,,,
Getafe,27,26.7,46.1,38,36,31,1,2,129,6.0,531.0,443.0,72.0,742.0,718.0,573.0,2.0,10.0,1.0,2015-2016,La-Liga,,,,,,,,
Granada,28,25.9,44.6,38,45,26,7,7,141,7.0,586.0,504.0,91.0,626.0,721.0,604.0,5.0,5.0,2.0,2015-2016,La-Liga,,,,,,,,
La Coruña,25,28.2,47.1,38,41,31,1,1,86,4.0,403.0,433.0,85.0,725.0,804.0,598.0,1.0,4.0,1.0,2015-2016,La-Liga,,,,,,,,
Las Palmas,27,27.6,54.6,38,42,31,4,5,100,4.0,466.0,563.0,79.0,466.0,784.0,546.0,3.0,4.0,1.0,2015-2016,La-Liga,,,,,,,,
Levante,27,27.2,45.9,38,36,23,2,2,134,7.0,549.0,477.0,75.0,692.0,696.0,497.0,2.0,7.0,5.0,2015-2016,La-Liga,,,,,,,,
Málaga,30,28.0,48.8,38,37,27,2,4,110,5.0,553.0,466.0,85.0,828.0,747.0,592.0,2.0,2.0,3.0,2015-2016,La-Liga,,,,,,,,
Rayo Vallecano,29,28.5,55.6,38,52,38,2,3,115,10.0,549.0,473.0,124.0,992.0,707.0,580.0,1.0,9.0,2.0,2015-2016,La-Liga,,,,,,,,
Real Madrid,24,26.5,57.3,38,108,86,6,9,75,5.0,421.0,490.0,116.0,904.0,643.0,585.0,8.0,4.0,0.0,2015-2016,La-Liga,,,,,,,,
Real Sociedad,27,25.3,51.8,38,44,31,1,1,109,5.0,468.0,579.0,86.0,946.0,873.0,601.0,1.0,7.0,1.0,2015-2016,La-Liga,,,,,,,,
Sevilla,33,26.9,50.0,38,50,35,6,7,106,8.0,560.0,497.0,106.0,904.0,663.0,511.0,7.0,3.0,2.0,2015-2016,La-Liga,,,,,,,,
Sporting Gijón,28,24.5,43.1,38,39,29,1,2,107,6.0,527.0,447.0,81.0,668.0,748.0,618.0,2.0,10.0,1.0,2015-2016,La-Liga,,,,,,,,
Valencia,30,24.7,50.1,38,42,27,4,5,110,7.0,571.0,596.0,92.0,724.0,781.0,632.0,5.0,4.0,1.0,2015-2016,La-Liga,,,,,,,,
Villarreal,26,25.3,45.9,38,42,32,3,3,103,4.0,536.0,440.0,107.0,555.0,781.0,539.0,3.0,3.0,1.0,2015-2016,La-Liga,,,,,,,,
Arsenal,28,27.8,,38,84,66,5,6,56,2.0,515.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Aston Villa,27,26.2,,38,42,29,3,4,66,4.0,571.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Birmingham City,33,27.9,,38,40,26,4,5,74,3.0,553.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Blackburn,28,27.7,,38,50,38,5,6,66,4.0,590.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Bolton,27,29.1,,38,38,24,1,2,71,3.0,464.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Charlton Ath,26,27.0,,38,43,24,4,5,56,1.0,533.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Chelsea,23,27.8,,38,67,40,3,3,62,1.0,498.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Everton,28,27.4,,38,48,32,4,4,56,5.0,514.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Fulham,27,27.3,,38,38,23,6,7,58,6.0,540.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Leeds United,29,25.8,,38,54,39,4,5,73,1.0,568.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Liverpool,23,24.9,,38,61,49,4,6,48,1.0,439.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Manchester City,26,27.8,,38,47,40,2,2,58,5.0,510.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Manchester Utd,26,27.0,,38,73,56,9,9,46,1.0,488.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Middlesbrough,29,26.4,,38,48,31,2,3,53,4.0,515.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Newcastle Utd,26,24.8,,38,63,42,3,4,48,2.0,500.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Southampton,26,27.2,,38,42,24,6,6,49,3.0,548.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Sunderland,34,26.0,,38,21,16,1,3,60,0.0,573.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Tottenham,25,28.1,,38,50,35,3,3,64,4.0,497.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
West Brom,23,27.2,,38,29,11,1,1,49,4.0,573.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
West Ham,24,27.3,,38,41,29,4,5,67,4.0,542.0,,,,,,,,,2002-2003,Premier-League,,,,,,,,
Ajaccio,25,27.4,,38,39,23,4,6,95,9.0,603.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Auxerre,29,27.0,,38,46,28,1,1,87,5.0,609.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Bordeaux,26,26.7,,38,53,30,7,9,64,4.0,578.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Brest,31,27.4,,38,31,15,4,6,73,5.0,669.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Caen,23,26.3,,38,39,21,6,6,72,6.0,678.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Dijon,29,24.4,,38,38,19,3,4,82,7.0,579.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Evian,28,27.1,,38,52,26,5,6,83,5.0,614.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Lille,24,27.0,,38,70,42,12,13,68,4.0,541.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Lorient,33,25.8,,38,34,22,3,3,67,4.0,449.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Lyon,28,25.5,,38,62,35,6,6,62,6.0,596.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Marseille,24,26.3,,38,44,30,3,4,74,5.0,579.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Montpellier,23,26.3,,38,65,36,7,10,71,7.0,610.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Nancy,31,25.6,,38,37,26,3,4,60,2.0,620.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Nice,31,26.0,,38,38,21,7,9,70,7.0,610.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Paris S-G,24,26.9,,38,74,53,10,10,81,4.0,585.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Rennes,27,24.1,,38,52,35,6,7,68,3.0,568.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Saint-Étienne,30,25.1,,38,45,31,2,2,72,5.0,551.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Sochaux,31,24.9,,38,38,21,3,3,50,7.0,533.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Toulouse,26,23.9,,38,35,22,3,5,76,8.0,675.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Valenciennes,26,26.5,,38,38,19,5,6,67,4.0,640.0,,,,,,,,,2011-2012,Ligue-1,,,,,,,,
Athletic Club,25,25.4,,38,44,38,1,2,126,9.0,533.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Atlético Madrid,27,25.9,,38,63,37,8,8,107,5.0,594.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Barcelona,25,26.6,,38,112,91,4,5,60,2.0,402.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Betis,33,26.8,,38,55,41,3,4,122,7.0,549.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Celta Vigo,28,26.9,,38,37,27,3,3,105,4.0,506.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Espanyol,25,26.5,,38,42,32,4,4,158,11.0,643.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Getafe,27,26.9,,38,43,31,4,4,117,9.0,544.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Granada,28,26.9,,38,35,18,7,8,107,5.0,570.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
La Coruña,28,28.8,,38,45,26,4,6,109,8.0,426.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Levante,27,29.2,,38,39,22,3,5,119,7.0,587.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Málaga,28,27.9,,38,52,37,4,5,96,6.0,493.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Mallorca,29,26.9,,38,43,23,2,3,108,8.0,599.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Osasuna,30,27.6,,38,33,24,1,1,119,10.0,563.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Rayo Vallecano,29,26.6,,38,49,30,7,7,141,4.0,590.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Real Madrid,31,26.9,,38,100,71,8,10,97,5.0,468.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Real Sociedad,22,25.3,,38,68,49,7,7,98,2.0,448.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Sevilla,30,26.7,,38,56,36,5,7,106,12.0,547.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Valencia,23,26.4,,38,65,48,6,7,128,8.0,575.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
Valladolid,23,27.3,,38,48,32,5,6,83,3.0,502.0,,,,,,,,,2012-2013,La-Liga,,,,,,,,
